sensor_id,location_id,parameter_name,parameter_id,parameter_units,last_value,last_datetime,expected_interval,observed_interval,coverage_datetime_from,coverage_datetime_to
41,22,pm25,2,µg/m³,,,,,,
4680,2445,pm25,2,µg/m³,45.5,2016-11-09T16:00:00Z,01:00:00,5656:00:00,2016-03-10T22:00:00Z,2016-11-09T16:00:00Z
24434,8415,pm25,2,µg/m³,84.0,2025-03-24T13:00:00Z,01:00:00,66366:00:00,2016-11-09T18:00:00Z,2025-03-24T13:00:00Z
7464180,8415,o3,10,ppm,0.018,2025-03-24T13:00:00Z,01:00:00,11534:00:00,2023-11-27T09:00:00Z,2025-03-24T13:00:00Z
6566258,1285342,pm25,2,µg/m³,,,,,,
11106524,3194367,pm10,1,µg/m³,300.0480448404948,2025-01-13T23:00:00Z,01:00:00,1552:00:00,2024-10-28T08:00:00Z,2025-01-13T23:00:00Z
11106529,3194367,pm25,2,µg/m³,36.5,2026-09-01T05:00:00Z,01:00:00,8513:00:00,2024-10-28T08:00:00Z,2026-09-01T05:00:00Z
13623705,5105944,pm25,2,µg/m³,12.4,2025-10-22T05:00:00Z,01:00:00,94:00:00,2025-07-17T09:00:00Z,2025-10-22T05:00:00Z
14839069,6157905,pm25,2,µg/m³,150.4,2026-09-16T01:00:00Z,01:00:00,6694:00:00,2025-12-09T11:00:00Z,2026-09-16T01:00:00Z
15296733,6219691,pm25,2,µg/m³,31.62768167148937,2026-01-29T12:00:00Z,01:00:00,06:00:00,2026-01-29T07:00:00Z,2026-01-29T12:00:00Z
15297527,6219798,pm25,2,µg/m³,100.51999969482422,2026-02-05T05:00:00Z,01:00:00,13:00:00,2026-01-29T09:00:00Z,2026-02-05T05:00:00Z
15401493,6234078,pm25,2,µg/m³,81.3,2026-09-16T01:00:00Z,01:00:00,5035:00:00,2026-02-09T05:00:00Z,2026-09-16T01:00:00Z
15403598,6234363,pm25,2,µg/m³,88.9,2026-09-16T01:00:00Z,01:00:00,4937:00:00,2026-02-09T11:00:00Z,2026-09-16T01:00:00Z
15420149,6236590,pm25,2,µg/m³,79.9,2026-09-16T01:00:00Z,01:00:00,5074:00:00,2026-02-11T13:00:00Z,2026-09-16T01:00:00Z
15445821,6240023,pm25,2,µg/m³,30.2,2026-08-13T12:00:00Z,01:00:00,4014:00:00,2026-02-14T17:00:00Z,2026-08-13T12:00:00Z
15451666,6240773,pm25,2,µg/m³,106.2,2026-09-16T01:00:00Z,01:00:00,4084:00:00,2026-02-15T10:00:00Z,2026-09-16T01:00:00Z
15461146,6242079,pm25,2,µg/m³,76.0,2026-09-16T01:00:00Z,01:00:00,4923:00:00,2026-02-16T11:00:00Z,2026-09-16T01:00:00Z
15462183,6242232,pm25,2,µg/m³,83.7,2026-09-16T01:00:00Z,01:00:00,4725:00:00,2026-02-16T16:00:00Z,2026-09-16T01:00:00Z
15530269,6251395,pm25,2,µg/m³,38.4,2026-08-17T02:00:00Z,01:00:00,805:00:00,2026-02-24T18:00:00Z,2026-08-17T02:00:00Z
15677432,6271076,pm25,2,µg/m³,78.5,2026-09-16T01:00:00Z,01:00:00,3883:00:00,2026-03-14T04:00:00Z,2026-09-16T01:00:00Z
15995177,6313504,pm25,2,µg/m³,7.6,2026-04-26T10:00:00Z,01:00:00,05:00:00,2026-04-19T11:00:00Z,2026-04-26T10:00:00Z
16004260,6314693,pm25,2,µg/m³,9.2,2026-09-16T01:00:00Z,01:00:00,1692:00:00,2026-04-20T09:00:00Z,2026-09-16T01:00:00Z
16063808,6322838,pm25,2,µg/m³,65.8,2026-09-16T01:00:00Z,01:00:00,112:00:00,2026-04-26T07:00:00Z,2026-09-16T01:00:00Z
16063813,6322839,pm25,2,µg/m³,26.0,2026-04-26T09:00:00Z,01:00:00,03:00:00,2026-04-26T07:00:00Z,2026-04-26T09:00:00Z
17535353,6528096,pm25,2,µg/m³,138.7,2026-09-16T01:00:00Z,01:00:00,111:00:00,2026-09-07T11:00:00Z,2026-09-16T01:00:00Z
