sensor_id,location_id,parameter_name,parameter_id,parameter_units,last_value,last_datetime
14388702,6097000,pm25,2,µg/m³,16.61776388751136,2025-10-17T10:00:00Z
14388707,6097001,pm25,2,µg/m³,0.2,2026-09-13T04:00:00Z
14389239,6097002,pm25,2,µg/m³,0.0,2026-09-13T00:00:00Z
14458711,6106469,pm25,2,µg/m³,26.308986110157438,2025-10-25T10:00:00Z
14458716,6106470,pm25,2,µg/m³,4.5,2026-09-11T10:00:00Z
14459305,6106552,pm25,2,µg/m³,36.9,2026-09-13T04:00:00Z
14459310,6106553,pm25,2,µg/m³,12.3,2026-09-13T04:00:00Z
14468898,6107833,pm25,2,µg/m³,6.5,2026-09-13T04:00:00Z
14468903,6107834,pm25,2,µg/m³,49.7,2026-03-30T06:00:00Z
14468908,6107835,pm25,2,µg/m³,0.0,2026-09-13T04:00:00Z
14468913,6107836,pm25,2,µg/m³,19.9,2026-09-12T14:00:00Z
14477304,6108952,pm25,2,µg/m³,2.2,2026-09-13T04:00:00Z
14477309,6108953,pm25,2,µg/m³,6.0,2026-09-13T04:00:00Z
14477314,6108954,pm25,2,µg/m³,2.7,2026-09-13T04:00:00Z
14477319,6108955,pm25,2,µg/m³,0.2,2026-09-13T04:00:00Z
14898774,6165870,pm25,2,µg/m³,3.0,2026-09-13T04:00:00Z
16940205,6446947,pm25,2,µg/m³,0.0,2026-09-12T18:00:01Z
16940420,6446979,pm25,2,µg/m³,1.0,2026-09-12T17:59:39Z
