sensor_id,location_id,parameter_name,parameter_id,parameter_units,last_value,last_datetime
23,12,pm25,2,µg/m³,,
13866,13,no2,5,µg/m³,40.3,2018-02-22T04:00:00Z
13864,13,pm25,2,µg/m³,451.0,2018-02-22T04:00:00Z
24,13,o3,3,µg/m³,,
26,15,pm10,1,µg/m³,,
27,15,co,4,µg/m³,,
29,15,o3,3,µg/m³,,
30,15,pm25,2,µg/m³,,
28,15,no2,5,µg/m³,,
31,16,pm10,1,µg/m³,,
32,16,no2,5,µg/m³,,
33,16,co,4,µg/m³,,
34,16,pm25,2,µg/m³,,
12234785,17,o3,3,µg/m³,33.3,2026-09-11T10:30:00Z
12234787,17,pm25,2,µg/m³,31.0,2026-09-11T10:15:00Z
12234784,17,no2,15,ppb,25.6,2026-09-11T10:30:00Z
12234786,17,pm10,1,µg/m³,38.0,2026-09-11T10:30:00Z
12234782,17,co,102,ppb,1.15,2026-09-11T10:30:00Z
12234789,17,so2,101,ppb,15.4,2026-09-11T10:30:00Z
399,17,pm10,1,µg/m³,339.0,2018-02-21T21:15:00Z
35,17,pm25,2,µg/m³,201.0,2018-02-21T21:15:00Z
394,17,o3,3,µg/m³,95.33,2018-01-24T09:30:00Z
36,17,no2,5,µg/m³,77.6,2018-02-21T20:45:00Z
392,17,co,4,µg/m³,4300.0,2018-02-21T20:45:00Z
393,17,so2,6,µg/m³,56.9,2018-02-21T21:15:00Z
12234798,50,so2,101,ppb,12.3,2026-09-11T10:15:00Z
12234796,50,pm25,2,µg/m³,3.0,2026-09-11T10:30:00Z
12234794,50,o3,3,µg/m³,10.1,2026-09-11T10:30:00Z
12234793,50,no2,15,ppb,21.2,2026-09-11T10:30:00Z
12234791,50,co,102,ppb,1.0,2026-09-11T10:30:00Z
12234795,50,pm10,1,µg/m³,43.0,2026-09-11T10:30:00Z
395,50,pm10,1,µg/m³,322.0,2018-02-21T21:15:00Z
71,50,o3,3,µg/m³,39.07,2018-01-24T09:30:00Z
397,50,so2,6,µg/m³,3.1,2018-02-21T21:15:00Z
400,50,no2,5,µg/m³,92.9,2018-02-21T20:45:00Z
398,50,co,4,µg/m³,9.2,2018-02-21T21:15:00Z
396,50,pm25,2,µg/m³,183.0,2018-02-21T21:15:00Z
169,103,co,4,µg/m³,,
13861,103,pm25,2,µg/m³,224.0,2018-02-22T03:45:00Z
13863,103,no2,5,µg/m³,132.1,2018-02-22T03:45:00Z
13862,103,pm10,1,µg/m³,312.0,2018-02-22T03:45:00Z
168,103,o3,3,µg/m³,,
12235608,235,o3,3,µg/m³,11.3,2026-09-11T09:00:00Z
12235605,235,co,102,ppb,1.05,2026-09-11T10:00:00Z
12235612,235,so2,101,ppb,24.2,2026-09-11T10:15:00Z
12235607,235,no2,15,ppb,25.6,2026-09-11T10:00:00Z
12235609,235,pm10,1,µg/m³,70.0,2026-09-11T10:00:00Z
12235610,235,pm25,2,µg/m³,38.0,2026-09-11T10:00:00Z
380,235,o3,3,µg/m³,17.87,2018-01-23T04:30:00Z
383,235,so2,6,µg/m³,8.9,2018-02-21T21:15:00Z
382,235,no2,5,µg/m³,469.0,2018-02-21T21:15:00Z
