sensor_id,location_id,parameter_name,parameter_id,parameter_units,last_value,last_datetime
7713,3459,o3,10,ppm,-0.999,2025-03-04T12:15:00Z
7710,3459,pm25,2,µg/m³,21.0,2026-06-17T23:15:00Z
7712,3460,o3,10,ppm,-0.999,2025-03-04T12:15:00Z
7711,3460,pm25,2,µg/m³,71.0,2025-03-24T14:15:00Z
8462426,1236017,pm10,1,µg/m³,78.27381006876628,2025-01-13T23:00:00Z
6530219,1236017,pm25,2,µg/m³,47.7,2026-06-01T04:00:00Z
9235741,2848864,pm10,1,µg/m³,87.06706364949544,2025-01-13T23:00:00Z
9235746,2848864,pm25,2,µg/m³,27.7,2026-09-13T02:00:00Z
14153358,5506835,pm25,2,µg/m³,38.8,2026-09-13T02:00:00Z
14207425,5509787,pm25,2,µg/m³,28.0,2026-09-10T06:00:00Z
14272754,5509788,pm25,2,µg/m³,26.0,2026-09-13T02:00:00Z
14975414,5518333,pm25,2,µg/m³,32.4,2026-09-13T02:00:00Z
14976381,5519358,pm25,2,µg/m³,25.9,2026-09-13T02:00:00Z
14153468,5598104,pm25,2,µg/m³,58.00833333333333,2026-01-27T08:00:00Z
14153373,5633032,pm25,2,µg/m³,27.0,2026-08-07T05:00:00Z
14153363,5634500,pm25,2,µg/m³,22.3,2026-09-13T02:00:00Z
14153368,5676345,pm25,2,µg/m³,17.9,2026-09-13T02:00:00Z
14153378,5676826,pm25,2,µg/m³,25.2,2026-09-13T02:00:00Z
14153463,5695597,pm25,2,µg/m³,31.8,2026-06-15T09:00:00Z
14153458,5698877,pm25,2,µg/m³,32.5,2026-09-04T01:00:00Z
14573141,5699844,pm25,2,µg/m³,19.5,2026-05-11T06:00:00Z
14564633,5709621,pm25,2,µg/m³,25.3,2026-09-13T02:00:00Z
14153453,5710077,pm25,2,µg/m³,27.8,2026-08-05T05:00:00Z
14171644,5710078,pm25,2,µg/m³,2.0,2026-09-11T10:00:00Z
14327494,6070692,pm25,2,µg/m³,33.0,2026-09-13T02:00:00Z
14327776,6071242,pm25,2,µg/m³,28.5,2026-09-13T02:00:00Z
14335684,6083043,pm25,2,µg/m³,33.4,2026-09-05T16:00:00Z
14355143,6092366,pm25,2,µg/m³,8.4,2026-09-13T02:00:00Z
14355424,6092405,pm25,2,µg/m³,23.0,2026-09-13T02:00:00Z
14362965,6093431,pm25,2,µg/m³,38.4,2026-09-13T02:00:00Z
14363831,6093432,pm25,2,µg/m³,33.1,2026-09-13T02:00:00Z
14363840,6093548,pm25,2,µg/m³,29.1,2026-09-13T02:00:00Z
14363845,6093549,pm25,2,µg/m³,30.6,2026-09-13T02:00:00Z
14363850,6093550,pm25,2,µg/m³,31.8,2026-09-13T02:00:00Z
14415608,6093551,pm25,2,µg/m³,36.2,2026-09-13T02:00:00Z
14365294,6093752,pm25,2,µg/m³,34.3,2026-09-13T02:00:00Z
14371768,6094668,pm25,2,µg/m³,0.0,2026-09-13T02:00:00Z
14372571,6094706,pm25,2,µg/m³,24.1,2026-09-13T02:00:00Z
14372566,6094777,pm25,2,µg/m³,21.6,2026-09-13T02:00:00Z
14372847,6094778,pm25,2,µg/m³,10.8,2026-09-09T08:00:00Z
