sensor_id,location_id,parameter_name,parameter_id,parameter_units,last_value,last_datetime,expected_interval,observed_interval,coverage_datetime_from,coverage_datetime_to
23455,8088,pm25,2,µg/m³,90.0,2025-03-24T23:00:00Z,01:00:00,46377:00:00,2019-06-16T00:00:00Z,2025-03-24T23:00:00Z
23747,8156,pm25,2,µg/m³,62.0,2025-03-04T12:00:00Z,01:00:00,46937:00:00,2019-05-22T22:00:00Z,2025-03-04T12:00:00Z
25066,8634,pm25,2,µg/m³,16.0,2025-03-04T12:00:00Z,01:00:00,43576:00:00,2019-05-22T22:00:00Z,2025-03-04T12:00:00Z
25135,8664,pm25,2,µg/m³,-999.0,2025-03-04T12:00:00Z,01:00:00,46465:00:00,2019-05-22T22:00:00Z,2025-03-04T12:00:00Z
1343270,233470,pm25,2,µg/m³,62.0,2026-02-16T13:00:00Z,01:00:00,28660:00:00,2021-08-26T15:00:00Z,2026-02-16T13:00:00Z
7466369,1894633,pm10,1,µg/m³,49.84,2024-02-28T12:42:56Z,00:18:00,187:01:30,2023-11-28T16:58:32Z,2024-02-28T12:42:56Z
7466370,1894633,pm25,2,µg/m³,24.71,2024-02-28T12:42:56Z,00:18:00,187:01:30,2023-11-28T16:58:32Z,2024-02-28T12:42:56Z
7466364,1894641,pm10,1,µg/m³,179.0,2024-04-24T02:03:48Z,00:18:00,278:27:00,2023-11-28T16:58:05Z,2024-04-24T02:03:48Z
7466365,1894641,pm25,2,µg/m³,43.15,2026-08-31T20:03:02Z,00:18:00,1475:33:00,2023-11-28T17:00:00Z,2026-08-31T20:03:02Z
10815113,3089895,pm25,2,µg/m³,52.134921073913574,2024-10-25T16:00:00Z,01:00:00,101:00:00,2024-10-02T17:00:00Z,2024-10-25T16:00:00Z
10815168,3089895,pm10,1,µg/m³,62.44032700856527,2024-10-25T16:00:00Z,01:00:00,101:00:00,2024-10-02T17:00:00Z,2024-10-25T16:00:00Z
11077530,3182341,pm25,2,µg/m³,59.5,2024-10-28T05:00:00Z,01:00:00,59:00:00,2024-10-25T18:00:00Z,2024-10-28T05:00:00Z
