location_id,name,locality,latitude,longitude,is_monitor,is_mobile,datetime_first,datetime_last,error
6135449,TDF MagnifiScience Centre,,24.84656534821976,67.0029981,False,False,2026-04-08T23:00:00Z,2026-09-13T01:00:00Z,Internal Server Error
6318813,Upper Mall Road LHR,,31.5418,74.3541,False,False,2026-04-23T06:00:00Z,2026-05-06T05:00:00Z,Internal Server Error
6318814,Jhelum B,,32.9691,73.6913,False,False,2026-04-23T06:00:00Z,2026-09-11T10:00:00Z,Internal Server Error
6318815,Kot Adu PARCO B,,30.1717,70.9502,False,False,2026-04-23T06:00:00Z,2026-09-13T01:00:00Z,Internal Server Error
6318816,Burki Rd Paragon B LHE,,31.5332,74.4504,False,False,2026-04-23T05:00:00Z,2026-09-13T01:00:00Z,Internal Server Error
6318817,DHA Phase 6 B LHE,,31.4698,74.4471,False,False,2026-04-23T07:00:00Z,2026-09-03T12:00:00Z,Internal Server Error
6318818,Bahawalpur Sadiq Colony B,,29.3855,71.6684,False,False,2026-04-23T05:00:00Z,2026-08-01T10:00:00Z,Internal Server Error
6318819,Faisalabad People’s Colony B,,31.4109,73.1039,False,False,2026-04-23T05:00:00Z,2026-06-12T06:00:00Z,Internal Server Error
6318820,Gujrat GT Road B,,32.5149,74.0946,False,False,2026-04-23T05:00:00Z,2026-09-13T01:00:00Z,Internal Server Error
6318821,Arifwala B,,30.2582,73.0581,False,False,2026-04-23T06:00:00Z,2026-09-13T01:00:00Z,Internal Server Error
6318822,Multan Northern Bypass B,,30.2426,71.534,False,False,2026-04-23T06:00:00Z,2026-09-13T01:00:00Z,Internal Server Error
6318823,Faisalabad Gatwala Canal Rd A,,31.4624,73.1797,False,False,2026-04-23T05:00:00Z,2026-09-13T01:00:00Z,Internal Server Error
6318824,HHS IMC Jamshed Campus,,24.8809,67.0466,False,False,2026-04-23T06:00:00Z,2026-05-06T05:00:00Z,Internal Server Error
6318825,Sargodha Defence View Society A,,32.033,72.6979,False,False,2026-04-23T06:00:00Z,2026-09-13T01:00:00Z,Internal Server Error
6318826,Model Town Link Rd B LHE,,31.4638,74.3154,False,False,2026-04-23T06:00:00Z,2026-09-13T01:00:00Z,Internal Server Error
6318827,Dera Ghazi Khan Civil Lines B,,30.0411,70.6244,False,False,2026-04-23T05:00:00Z,2026-09-12T10:00:00Z,Internal Server Error
6318828,TIP City Office - LIH,,24.818095393631435,67.05294147133827,False,False,2026-04-23T06:00:00Z,2026-09-08T09:00:00Z,Internal Server Error
6318829,Kasur B,,31.1216,74.472,False,False,2026-04-23T05:00:00Z,2026-09-13T01:00:00Z,Internal Server Error
6318830,Burewala Nehar Bunglow Rd B,,30.1751,72.6966,False,False,2026-04-23T05:00:00Z,2026-09-08T01:00:00Z,Internal Server Error
6318831,Sahiwal Arra Tulla Rd B,,30.6846,73.086,False,False,2026-04-23T10:00:00Z,2026-07-23T12:00:00Z,Internal Server Error
6318832,Rahim Yar Khan Canal Rd B,,28.4129,70.3317,False,False,2026-04-23T06:00:00Z,2026-06-09T05:00:00Z,Internal Server Error
6318833,HHS Clifton,,24.8157,67.0058,False,False,2026-04-23T06:00:00Z,2026-05-06T05:00:00Z,Internal Server Error
6318834,Kot Adu KAPCO B,,30.4412,70.9791,False,False,2026-04-23T05:00:00Z,2026-09-13T01:00:00Z,Internal Server Error
6318835,Sialkot A,,32.548,74.422,False,False,2026-04-23T06:00:00Z,2026-09-12T08:00:00Z,Internal Server Error
6318836,Dera Ghazi Khan Jampur Rd B,,30.0177,70.6434,False,False,2026-04-23T05:00:00Z,2026-09-13T01:00:00Z,Internal Server Error
6318837,Bahawalpur B,,29.3592,71.6952,False,False,2026-04-23T05:00:00Z,2026-09-03T21:00:00Z,Internal Server Error
6318838,PTC Jhelum GT Rd,,32.98,73.6858,False,False,2026-04-23T05:00:00Z,2026-09-13T01:00:00Z,Internal Server Error
6318839,Muzaffarabad Eid Gah Rd Makri A,,34.3835,73.4767,False,False,2026-04-23T05:00:00Z,2026-07-31T13:00:00Z,Internal Server Error
6318840,Sialkot Cantt B,,32.5126,74.5587,False,False,2026-04-23T06:00:00Z,2026-06-18T06:00:00Z,Internal Server Error
6318841,Okara Canal View B,,30.8267,73.4366,False,False,2026-04-23T06:00:00Z,2026-08-23T18:00:00Z,Internal Server Error
6318842,Muslim Town LHE B,,31.5123,74.3074,False,False,2026-04-23T05:00:00Z,2026-09-10T08:00:00Z,Internal Server Error
6318843,Gujranwala Cantt B,,32.2451,74.1572,False,False,2026-04-23T05:00:00Z,2026-09-13T01:00:00Z,Internal Server Error
6318844,Multan Industrial Estate A,,30.1351,71.3995,False,False,2026-04-23T08:00:00Z,2026-09-13T01:00:00Z,Internal Server Error
6318845,Kharian Cantt B (GT Rd),,32.7696,73.8976,False,False,2026-04-23T05:00:00Z,2026-09-13T01:00:00Z,Internal Server Error
6318846,Gujrat Model Town B,,32.6174,74.0784,False,False,2026-04-23T05:00:00Z,2026-08-13T04:00:00Z,Internal Server Error
6318847,Khanewal B,,30.3119,71.9493,False,False,2026-04-23T09:00:00Z,2026-09-12T20:00:00Z,Internal Server Error
6318848,Rawalakot A,,33.857,73.7874,False,False,2026-04-23T05:00:00Z,2026-06-05T19:00:00Z,Internal Server Error
6318849,HHS Tariq Road karachi,,24.8686,67.0596,False,False,2026-04-23T06:00:00Z,2026-05-06T05:00:00Z,Internal Server Error
6318850,Faisalabad Raza Garden B,,31.4539,73.1599,False,False,2026-04-23T06:00:00Z,2026-09-12T11:00:00Z,Internal Server Error
6346768,TCS Joharabad,,32.2888,72.2747,False,False,2026-05-12T22:00:00Z,2026-05-15T07:00:00Z,Internal Server Error
6346769,TCS Jhang Jr. Branch,,31.2649,72.3223,False,False,2026-05-12T22:00:00Z,2026-09-12T18:00:00Z,Internal Server Error
6346770,Sialkot Aziz Garden B,,32.558,74.5516,False,False,2026-05-12T23:00:00Z,2026-07-20T09:00:00Z,Internal Server Error
6346771,TCS Sargodha Collage Campus,,32.0552,72.6911,False,False,2026-05-12T23:00:00Z,2026-05-15T07:00:00Z,Internal Server Error
6346772,Vehari B,,30.042,72.3367,False,False,2026-05-12T23:00:00Z,2026-09-11T11:00:00Z,Internal Server Error
6346773,Tariq Road C KHI,,24.8686,67.0596,False,False,2026-05-12T23:00:00Z,2026-09-13T01:00:00Z,Internal Server Error
6346774,Faisal Cantonment A KHI,,24.8909,67.1748,False,False,2026-05-12T23:00:00Z,2026-09-13T01:00:00Z,Internal Server Error
6346775,HANDS Gadap Town KHI,,24.989,67.2134,False,False,2026-05-12T23:00:00Z,2026-09-13T01:00:00Z,Internal Server Error
6346776,Mashahoor Chowk Gilgit,,35.9106,74.399,False,False,2026-05-12T22:00:00Z,2026-07-03T01:00:00Z,Internal Server Error
6346777,Faisalabad Civil Lines B,,31.4324,73.0811,False,False,2026-05-12T22:00:00Z,2026-09-13T01:00:00Z,Internal Server Error
6346778,TCS Jhang Senior Campus,,31.2412,72.3276,False,False,2026-05-12T22:00:00Z,2026-09-13T01:00:00Z,Internal Server Error
6346779,Old Clifton Seven Towers,,24.8158,67.0306,False,False,2026-05-12T23:00:00Z,2026-09-13T01:00:00Z,Internal Server Error
6346780,Clifton Block 1 C KHI,,24.8157,67.0058,False,False,2026-05-12T23:00:00Z,2026-09-13T01:00:00Z,Internal Server Error
6346781,Icchra Maqbool Rd LHE,,31.5274,74.3113,False,False,2026-05-12T23:00:00Z,2026-08-06T18:00:00Z,Internal Server Error
